Source IP,Destination IP,Source Port,Destination Port,Protocol,Flow Duration,Label
192.168.10.5,104.16.20.15,49152,80,6,1200000,BENIGN
192.168.10.8,172.217.16.14,49153,443,6,50000,BENIGN
192.168.10.12,192.168.10.50,12345,21,6,3000000,FTP-Patator
192.168.10.5,8.8.8.8,51234,53,17,25000,BENIGN
192.168.10.9,192.168.10.50,54321,22,6,4000000,SSH-Patator
192.168.10.14,192.168.10.50,4444,80,6,5000000,DoS Hulk
192.168.10.14,192.168.10.50,4445,80,6,4500000,DoS Hulk
10.0.2.15,192.168.10.50,5555,8080,6,1000,PortScan
10.0.2.15,192.168.10.50,5556,8081,6,1000,PortScan
192.168.10.5,104.16.21.15,49160,80,6,150000,BENIGN
